Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
30,Adoni Venkatesh,82.63,597.35,"-6,714.02",5308.49,2.14
31,Affluenz Financial Services India Private Limited,135.88,"7,475.46","1,012.93",27061.65,3.78
32,Ajay Kantibhai Shah,106.59,"4,352.20",808.33,11756.89,2.83
33,Ajay Khurana,89.05,"1,669.94",217.31,8322.31,5.24
34,Ajay Kumar Arora,94.34,"2,446.34","1,177.81",10158.00,4.48
35,Akasa Securities & Financial Services Pvt. Ltd,212.57,"66,270.10","3,998.35",28576.68,0.46
36,Akshaya Budhraja,105.15,"3,024.20","1,157.21",13336.81,4.81
37,Akshaya Wealth Management (P) Ltd,81.88,"7,074.95","2,857.86",11303.50,1.87
38,Akta Associates,132.87,"25,434.55","2,383.27",18306.78,0.58
39,Alchemy Capital Management Pvt Ltd,152.24,"6,725.85","-11,195.74",26714.06,2.4
40,Allahabad Bank,53.61,"5,641.45","3,370.61",10227.63,1.98
41,Allegiance Associates,183.87,"7,275.16","1,608.78",19932.22,2.79
42,Allegro Capital Advisors Pvt Ltd,215.71,"13,499.82","-3,942.03",38951.75,2.65
43,Almondz Global Securities Ltd,411.75,"25,790.94","-13,526.73",80967.70,2.9
44,ALMONDZ WEALTH ADVISORS LTD,233.44,"            1,27,063.67","4,740.36",21404.87,0.18
45,Alpha Capital,590.71,"45,806.18","7,950.21",99931.61,2.36
46,ALPHAFRONT FINSERV PVT LTD,71.32,"11,900.10","6,730.67",9789.94,1.11
47,AM WEALTH MANAGERS PVT. LTD,"1,233.25","55,410.07","15,309.86","           1,36,650.41 ",2.96
48,Ambit Capital Private Limited,210.66,"            1,79,863.97","-4,655.32",80798.85,0.3
49,Ami Vishal Dalal,249.91,"29,607.72",653.45,23292.48,0.79
50,Amit Jasani Financial Services Pvt Ltd,64.1,"21,318.55","10,922.31",13663.34,0.98
51,Amit Sitaram Luharuka,89.4,"5,367.18",990.76,11076.87,2.25
52,Amitkumar D Mehta,158.55,"4,612.79","1,913.06",14182.73,3.34
53,Anand Rathi Share And Stock Brokers Limited,959.79,"          10,69,331.93","21,180.91","           1,15,889.13 ",0.12
54,Anand Rathi Wealth Services Limited,"12,108.97","          27,89,425.90","            1,63,395.14","         11,24,158.48",0.45
55,Anandbir Singh,353.87,"36,704.37","7,843.57",44556.96,1.31
56,Ananthalakshmi M,91.38,"4,437.45","-1,501.41",11241.80,2.41
57,Angel Broking Limited,505.21,"64,205.34","26,158.46",47709.29,1.02
58,Anil Khera,164.72,"5,615.81",375.62,19505.15,3.58
59,Anil Manohar Kataria,96.64,"5,581.59","2,293.29",12126.42,2.36
60,Anita Arun Lagu,107.65,"3,172.96",-344.23,12169.74,3.53
61,Anita Investment Agencies,63.89,129.59,"-1,751.33",11346.13,83.33
62,Anjali Investment & Consultants,369.89,"16,096.23","3,590.42",32989.24,2.25
63,Anjana Shah,128.08,"18,032.86",523.58,22415.24,1.28
64,Ankit Aggarwal,222.25,"43,563.40","-4,539.36",21770.67,0.52
65,Ankit Jain,93.34,956.65,-27.66,7623.45,8.65
66,Anshu Jaisinghani,110.99,"5,506.46","2,438.21",13339.44,2.7
67,Anshu Shrivastava,67.47,"2,843.49","-3,717.18",3627.98,0.52
68,Answers Financial Planners Pvt.Ltd.,128.86,"19,749.66","1,729.16",14442.90,0.59
69,Anup Thirani,95.02,"            2,88,597.22","1,090.16",11177.02,0.04
70,Anurag Bagrodia,138.03,"8,512.72","-2,068.75",18871.70,2.22
71,AR WEALTH MANAGEMENT PRIVATE LIMITED,323.93,"16,611.99","5,098.97",29095.63,2.09
72,Ara Management Solutions Pvt Ltd,197.55,"9,109.74",-200.87,22514.07,2.61
73,Aravindakshan K M,106.62,"3,377.26",784.41,11729.71,3.57
74,Arihant Capital Markets Limited,132.25,"22,337.39","2,963.99",15456.93,0.74
75,Arjun Gupta,85.51,"2,980.92",-622.11,12296.44,4.26
76,ARK PRIMARY ADVISORS PRIVATE LIMITED,120.22,"3,532.85","1,860.24",13653.44,4.34
77,ARNAV FINANCIAL SERVICES,55.11,"8,189.95","1,176.62",4458.46,0.5
78,Artha Yantra Corporation Pvt Ltd,81.26,"4,306.31",888.41,10402.87,2.6
79,Artham Finometry Private Limited,115.97,"10,221.94","3,463.16",12889.70,1.47
80,Arthashastra Investment Managers Private Limited,124.4,"7,226.27","1,534.56",13627.21,1.87
81,Arun Purushottam Patel,103.34,"6,380.48","2,512.89",8202.23,1.31
82,Arun Sankar,57.23,"1,561.72",-147.65,4806.53,3.08
83,Arun Vishwanath Lagu,199.93,"4,688.55",-681.41,21139.52,4.47
84,Arvind Financial Services,112.09,"2,530.41",724.3,14142.61,6.08
85,Arvinder Singh Bindra,88.16,"1,619.36",680.67,11277.45,7.51
86,Ashika Stock Broking Ltd.,129.2,"            1,34,368.65",163.47,19275.44,0.11
87,Ashish Golechha,110.88,"6,577.92","3,483.40",10541.05,1.96
88,Ashok Kumar Agarwal,77.59,"4,291.95",584.09,5509.51,1.35
89,Ashok Thakwani,82.34,"2,679.57",953.95,11898.45,4.82
90,Ashutosh Financial Services Private Limited,298.52,"10,600.04","2,783.19",20467.50,2.1
91,Ashwin Rasiklal Vajani,201.61,"14,267.77","3,137.56",21310.30,1.57
92,Asit C. Mehta Investment Intermediates Ltd,141.67,"10,105.85","1,093.04",21836.92,2.22
93,Asit Haresh Bhansali,172.59,"15,115.29",764.38,20027.20,1.33
94,Ask Wealth Advisors Private Limited,"2,487.14","            4,52,568.04","-35,605.08","           3,90,008.27 ",0.86
95,Aspandiar Nari Kanga,72.2,"2,730.63","2,314.48",9037.65,3.68
96,Asset Alliance Securities Private Limited,139.3,"6,340.07",935.84,18089.96,3.18
97,Assetz Premier Wealth Advisory Pvt Ltd,384.03,"61,515.17","1,384.50",54397.82,0.91
98,AU Mutuals Financial Planners Pvt. Ltd.,141.1,"7,732.98","1,850.66",10164.20,1.46
99,Augment Capital Advisors LLP,123.62,"12,584.18","1,252.28",14446.33,1.03
100,AUM Capital Market Pvt Ltd,"1,468.87","          15,91,159.22","          -1,52,268.42 ","           2,68,725.40 ",0.11
101,AUM Insure And Secure Pvt Ltd,147.25,"9,040.99","2,382.36",16325.44,1.96
102,AUREUS INVESTMENT SOLUTIONS LLP,344.84,"            3,16,721.21","13,873.92",64712.71,0.22
103,Autus Wealth Management Private Limited,643.53,"38,590.31","9,399.02",76202.12,2.1
104,Avanish K Shah,105.56,"5,326.87","1,350.02",10676.35,2.24
105,Avendus Wealth Management Pvt Ltd,"1,111.13","            5,13,323.28","          -1,03,600.94 ","           2,96,169.59 ",0.56
106,Axiom Financial Services Pvt Ltd,404.8,"14,957.44","5,845.01",49025.96,3.56
107,Axis Bank Limited,"55,563.06","      1,34,55,006.10","75,584.70","         52,92,305.18",0.36
108,Axis Securities Limited,"1,672.58","97,061.99","47,111.40","           1,43,923.70 ",1.67
109,AYUSHMANN CAPITAL,315.38,"31,439.28","17,689.86",10013.64,0.63
110,B D Shroff Securities Private Limited,148.63,"2,775.86",627.48,21580.17,8
111,Babubhai Hiralal & Co,97.32,"32,329.38",351.12,14169.50,0.41
112,Bahubali Mohanlal Shah,105.69,"5,818.46","1,686.53",9759.56,1.83
113,Bajaj Capital Ltd.,"9,206.28","            6,06,483.87","-14,467.59","         10,12,750.61",1.69
114,Bajaj Securities,73.75,"3,145.00","1,489.97",10503.40,3.69
115,Bajaj Share And Stock Brokers Pvt Ltd,75.07,"18,093.07",132.28,25936.32,1.54
116,BANAYANTREE SERVICES LIMITED,489.45,"25,330.38","3,360.20",25853.38,0.99
117,BANCONUS FINANCIAL SOLUTIONS PRIVATE LIMITED,138.12,"10,552.02","2,197.79",12106.11,1.33
118,BANDHAN BANK LTD,190.75,"16,434.19","11,984.25",14719.48,1.25
119,Bank of Bahrain & Kuwait B.S.C.,71.43,"2,501.13","1,092.98",9469.95,4.19
120,Bank Of Baroda,"1,835.34","            6,42,489.46","            1,76,361.74","           2,78,803.86 ",0.55
121,Bank of India,636.51,"82,777.65","-27,403.82","           1,50,522.14 ",1.66
122,Barclays Securities (India) Pvt Ltd,"1,979.00","            6,85,775.82","          -1,57,994.78 ","           4,72,531.50 ",0.56
123,Barjeel Geojit Financial Services LLC,"1,548.47","40,722.56","11,079.45","           1,45,833.70 ",3.8
124,Barrier Foils Private Limited,91.12,"5,682.06",459.2,19575.73,3.7
125,Basic Financial Services Pvt Ltd,157.78,"5,025.12","-1,302.06",14710.38,2.83
126,Batlivala & Karani Securities India Pvt. Ltd.,"1,896.45","      2,04,91,144.56","11,238.57","           7,22,661.22 ",0.03
127,Beereshwar Financial Services,137.18,"11,534.71","2,729.99",7475.42,0.69
128,Bees Network Limited,282.73,"25,428.80","1,382.93",33661.90,1.42
129,BELLWETHER ADVISORS LLP,234.97,"9,370.78","3,141.19",20998.76,2.37
130,BEYOND LIFE FINANCIAL SERVICES LLP,729.61,"45,157.00","14,080.06",66185.86,1.63
131,BFC Capital P Ltd,298.02,"40,287.55","1,554.29",28761.85,0.65
132,Bharat Bhushan & Co.,"1,748.20","            2,52,661.11","-50,688.72","           2,17,456.62 ",0.79
133,Bharat Soneja,113.62,"3,271.98",856.1,10810.93,3.56
134,Bharat Tokershi Gosar,110.22,"3,744.79","2,813.42",12471.40,3.87
135,BHARATHI SHARE BROKING PRIVATE LIMITED,260.17,"14,344.94","-5,866.60",29742.95,1.69
136,Bhartiben Kishorchandra Shah,56.69,743.28,743.28,3167.35,4.61
137,Bhavesh Indravadan Gandhi,109.93,"3,203.49",750.51,10270.63,3.46
138,Bhavesh Mahavir Khetan,223.31,"4,244.78","1,087.19",21515.14,5.16
139,Bhavik Girish Dand,203.6,"8,217.57","6,406.04",16872.95,2.76
140,Bheruratan Onkardas Dammani,85.12,"2,660.13","1,304.23",9868.17,4.06
141,Bimal Mansukhlal Panchamia,229.56,"6,809.35","2,612.95",18689.76,2.93
142,Bipin Bihari Sinha,115.29,"3,907.74",264.63,7777.54,2
143,Biren Krishnakant Chhatrapati,88.96,"2,639.90",989.32,10982.50,4.42
144,Birendra Kumar,150.86,"19,563.25","1,190.25",18107.60,1
145,BLACK & WHITE FIN SOLUTIONS LLP,182.03,"16,074.30","-14,575.97",14794.18,0.26
146,Blue Chip Investments,319.36,"5,398.72","1,353.93",23792.85,4.56
147,Blue Circle Financial Services,174.99,"4,857.40","3,330.65",19216.83,4.43
148,Blue Edge Associates LLP,"1,165.16","            1,08,560.36","19,013.94","           1,25,974.25 ",1.36
149,Blue Ocean Financial Services Pvt Ltd,136.43,"4,389.53",-244.64,14451.64,3.27
150,Blue Ocean Multi Client Family Office LLP,152.48,"76,024.61","7,967.05",28188.06,0.36
151,Bluechip Capital Services Private Limited,459.61,"20,161.24","1,860.13",58624.86,2.98
152,Bluechip Corporate Investment Centre Ltd,"3,128.25","            1,23,665.13","58,757.53","           3,79,555.01 ",3.3
153,BNP Paribas,89.03,258.98,"-7,502.48",29019.64,87.55
154,BNP Paribas Wealth Management India Pvt Ltd,878.31,"            1,74,277.74","-1,768.38","           1,40,801.99 ",0.84
155,Bodevision Finsec Consultants (P) Ltd,251.63,"6,339.19",457.04,19433.00,3.26
156,Boho Consultants Pvt Ltd,136.19,"5,238.05","2,633.02",17115.10,3.59
157,Bonanza Portfolio Ltd,370.74,"19,983.27","5,129.97",48776.01,2.55
158,Brain Point Investment Centre Pvt Ltd,"1,019.70","            1,73,060.22","16,817.68","           1,28,560.93 ",0.82
159,Brij Bhushan Marwaha,281.02,727.02,254.04,7965.41,0.07
160,Canara Bank,"4,768.75","            2,64,084.80","92,297.80","           4,73,301.25 ",2.08
161,Capital Builders,160.35,"8,041.09",-23.84,16439.64,2.06
162,Capital League,693.35,"35,681.62",643.64,82953.12,2.26
163,Catalyst Financial Planning,183.79,"9,083.98","-2,144.79",13330.51,1.42
164,Cedrus Consultants Private Limited,203.95,"15,690.10","-1,704.98",26064.20,1.65
165,Centrum Wealth Management Ltd,"2,910.12","            6,31,967.06","26,104.04","           4,69,652.09 ",0.81
166,Cerebral Advisors,123.56,"3,332.82","1,585.05",11100.68,3.52
167,Chadha Investment Consultant Pvt Ltd,652.35,"23,761.18","5,725.99",75372.38,3.75
168,Chaitanya Financial Consultancy Pvt Ltd,166.2,"5,362.82",932.28,14984.45,2.82
169,Champion Traders,104.79,"3,288.94",-754.32,10949.26,3.32
170,CHANDLER AND PRICE (I) PVT LTD,311.77,"18,645.79",-477.04,35644.76,1.93
171,Chandrakant Kashinath Amritkar,142.76,"3,195.77","1,121.87",13193.05,4.32
172,Chandulal L Vasa,138.16,"5,709.90","1,434.00",14785.21,2.73
173,Chetan Manharlal Lapsiwala,93.37,"2,050.72",587.92,13940.97,7.5
174,Chirag Stockbroker Pvt Ltd,233.76,"10,878.78","4,249.79",19551.78,2.08
175,Cholamandalam Securities Ltd,810.79,"      1,46,06,223.01","-15,660.42","           2,11,665.42 ",0.01
176,CITADELLE ASSET ADVISORS PVT. LTD.,186.11,"31,078.00",136.67,18653.45,0.55
177,Citibank N.A,"18,184.69","          14,62,461.26","-86,929.16","         28,66,429.17",1.83
178,CITRINE FINANCIAL ADVISORS LLP,122.22,"6,787.37","2,410.78",13552.84,2.43
179,CLAIRFIN CAPITAL SERVICES,182.93,"10,097.54","1,974.05",17484.98,1.88
180,Clairvoyance Securities Private Limited,140.19,"7,004.57","2,844.20",11987.94,1.85
181,Clairvoyant Capital Services,141.16,"9,586.07",-300.19,15264.65,1.65
182,Colaco & Aranha,189.11,"5,863.85","1,910.20",29755.78,5.58
183,Common Wealth,308.58,"30,141.69","-5,121.21",40305.81,1.23
184,Complete Circle Consultants Pvt Ltd,564.08,"28,413.01","16,664.88",53469.41,2.24
185,Comsol Financial Solutions Private Limited,385.05,"12,198.27",11.84,49413.81,4.08
186,CONSUULTME FINANCIAL SERVICES LLP,219.79,"10,205.23","4,796.23",18120.95,2.05
187,Coolbrain Consultants Private Ltd.,575.94,"15,324.20","2,446.62",38508.88,2.6
188,Coronet Vyapaar (P) Ltd,91.37,                           -,"-46,800.61",50378.01,-
189,COUNTON ADVISORS PRIVATE LIMITED,111.28,"7,434.08","-4,357.16",11387.74,1.13
190,CREDEL CAPITAL ADVISORS LLP,159.86,"8,783.97","4,506.03",15482.87,2.43
191,Credence Family Office LLP,249.77,"13,282.38",-100.65,30159.62,2.4
192,Credit Suisse Securities India Pvt Ltd,"2,043.28","            4,74,373.53","          -1,86,071.49 ","           4,68,128.29 ",0.86
193,CRESCAT ADVISORS LLP,205.83,"15,991.08","9,707.55",15392.80,1.29
194,Crescore Wealth Management Services Pvt. Ltd.,222.27,"19,317.64","-2,988.80",37427.82,1.77
195,CREST FINSERV LIMITED,447.62,"          96,77,848.94","-32,410.33","           1,73,632.96 ",0.01
196,CRVJ Investment Consultants Pvt.Ltd.,151.85,"5,241.71","2,623.98",18012.94,3.71
197,CRYSTAL VISION WEALTH MANAGERS PRIVATE LIMITED,158.88,"9,788.37",-154.73,21171.58,2.34
198,D Muthukrishnan,255.64,"3,401.71",775.82,25917.60,8
199,D Sundararajan,70.96,"2,329.42",986.43,10243.57,4.64
200,Dalal & Broacha Stock Broking Pvt. Ltd.,544.59,"            1,09,363.71","-6,998.70",86331.92,0.71
201,Dalmia Advisory Services Pvt Ltd,271.3,"12,823.91","3,300.54",28911.56,2.38
202,Darashaw & Co. Pvt Ltd,165.94,"            1,14,888.55","-10,359.44",39806.97,0.28
203,Darshan Mahendra Parekh,121.52,"10,561.91","1,307.27",15241.43,1.46
204,Darshan Services Private Limited,"2,937.23","      1,17,07,453.53","          -2,11,343.58 ","           5,52,528.73 ",0.03
205,Daularam Kewalram Patel,102.03,"3,330.55",417.2,11463.45,3.44
206,DBS BANK INDIA LIMITED,438.24,"91,568.92","18,280.67","           1,52,221.58 ",2.03
207,DBS Bank Ltd.,"1,724.85","29,120.07","-3,380.45",80205.20,2.19
208,DCB Bank Limited,264.93,"13,639.63","-4,332.31",46894.20,3.39
209,Deep Management & Eco Consultants Private Limited,307.99,"8,606.03","-3,589.35",44918.53,5.14
210,Deepa Manoj Adalja,56.78,821.24,"-1,180.54",5985.20,7.73
211,Deepak,255.24,"13,035.60","3,655.31",32517.89,2.77
212,Deepak Bakshi,92.8,"2,398.73",992.48,10559.28,4.74
213,Deepak Krishnamurthy Rao,73.85,"3,606.80","1,679.65",11120.23,3.29
214,Deepak Kumar Bhardwaj,129.65,"3,830.54",875.4,10898.81,2.97
215,Deepam Marketing Enterprises (P) Ltd,91.76,"6,097.10","2,342.81",12617.22,2.27
216,Deepanshu Singhal,239.35,"22,213.27","4,339.78",26514.99,1.25
217,Deepesh Arora,369.63,"26,394.03","3,135.64",29772.96,1.14
218,Defmacro Software Pvt Ltd,106.79,"8,396.22","7,785.79",5443.79,1.23
219,DEGREE 212 CONSULTANCY SERVICES PVT LTD,36.83,"6,488.92","1,622.73",10016.67,2.51
220,Deutsche Bank AG,"5,115.98","            4,19,848.58","-50,738.29","           9,78,796.75 ",2.2
221,Devavrat Parvate,62.22,"6,404.88","6,083.67",6448.56,1.45
222,Devendra Yeshwant Mhatre,130.05,"4,676.37",-342.78,12455.43,2.46
223,Dhairav Janak Shroff,136.62,"5,329.37",781.13,12817.77,2.57
224,Dhananjay Manohar Kale,294.33,"8,476.31","4,544.89",31482.15,4.03
225,Dhanesh M. Shah,171.06,"5,819.19","2,766.90",17780.46,3.39
226,Dhanlaxmi Bank Limited,187.86,"20,797.80","3,820.01",24874.07,1.23
227,DHANSANCHAY WEALTH CREATIONS LLP,151.46,"9,092.32",280.01,7961.28,0.82
228,Dhanvriddhi Finvest Services Pvt Ltd,99.34,"3,886.06","2,238.03",14027.70,3.98
229,Dhaval Mahendra Desai,78.87,990.13,577.05,8027.18,8.76
230,Dhaval S Shah,68.77,"2,451.15",964.01,9459.84,4.18
231,Dhruv Lalit Mehta,913.41,"            1,23,605.77","-3,376.84","           1,02,858.48 ",0.79
232,Dhruv Rajesh Rawani,108.61,"6,047.18","2,733.21",9563.86,1.81
233,DHYEY ASSET ADVISORS LLP,96.99,468.22,460.67,5475.12,12.41
234,Dilipkumar Shashikant Vayeda,120.21,"3,889.90",960.6,11136.93,3.02
235,Dilshad Kaiwan Billimoria,104.32,"2,966.95",670.98,14018.94,4.91
236,Dipak Kumar Das,183.99,"5,506.87",581.42,21385.26,4.09
237,Dipankar Das,237.41,"5,283.12","1,315.20",21567.47,4.3
238,Director General Posts,56.96,936.65,"-1,876.24",16291.21,17.38
239,Disha Finance & Investment Pvt Ltd,358.83,"12,068.15","4,402.49",35484.25,3.13
240,Diva Jyote Portfolios Private Limited,215.68,"6,034.30","1,898.62",25813.37,4.48
241,Divitas Capital Advisors Pvt Ltd,459.62,"29,700.10","3,960.65",55294.32,1.95
242,DMS Investment Advisory (P) Ltd.,250.91,"18,618.52","-8,676.55",29066.46,1.46
243,Dolfin Investments,92.78,"6,836.71","1,914.62",11213.22,1.86
244,Domingo John Rohan Rebello,173.1,"9,102.65","1,332.48",19487.40,2.14
245,Doogar & Associates Securities Ltd,101.72,"7,179.80","1,492.65",12074.00,1.77
246,Drumesh H.Pandya,110.32,"9,149.95","6,652.24",11762.45,2.59
247,DSA Capital Services,243.46,"16,350.33","-1,185.27",22119.46,1.27
248,DSFS WEALTH MANAGEMENT LLP,114.39,"6,825.54",700.81,10111.18,1.78
249,Durga Financial Services Pvt Ltd,261.49,"9,848.09","2,182.05",24297.69,2.61
250,Eastern Financiers Ltd.,"2,195.21","            1,25,721.15","22,046.74","           2,56,907.83 ",2.16
251,ECS Financial Services (India) Private Limited,261.97,"7,837.75","1,937.80",27865.84,3.74
252,Edelweiss Broking Limited,"1,678.57","            6,41,444.97","89,770.43","           3,23,990.42 ",0.59
253,Edelweiss Financial Services Limited,470.91,"72,095.33","27,144.86",58626.60,0.83
254,Edge Corporate Services Pvt Ltd,177.71,"3,625.29","-3,016.75",25700.93,6.84
255,Edge Wealth Management Services LLP,"1,146.67","96,326.58","-5,418.73","           1,64,447.82 ",1.67
256,Elite Portfolio Management,141.37,"6,849.09","1,037.01",13810.85,2.24
257,Elite Wealth Advisors Limited,98.63,"7,201.26","2,507.34",13251.70,1.97
258,Ellora Consultants Pvt Ltd,104.64,299.16,-787.53,7087.55,23.63
259,EMERGING FINCARE CONSULTANCY PRIVATE LIMITED,175.11,"6,390.13","2,837.50",12294.86,2.14
260,Emkay Global Financial Services Limited,165.05,"62,985.01","11,514.04",36842.54,0.85
261,Enrichwise Consultancy Services Pvt Ltd,120.98,"11,080.12","4,981.69",16804.09,1.81
262,Ensign Capital Markets and Investments Pvt. Ltd,129.49,"1,976.18",778.91,4787.20,2.52
263,Equations,143.94,"10,499.53","2,897.35",16771.33,1.77
264,EQUIRUS WEALTH PRIVATE LIMITED,17.99,"22,399.22","13,521.64",5007.77,0.9
265,EQUITAS SMALL FINANCE BANK LIMITED,174.87,"9,595.19","5,308.36",7769.92,1.08
266,ESGL CLIENTALLEY SOLUTIONS PRIVATE LIMITED,341.81,"41,971.33","-5,965.63",33137.95,0.76
267,Essel Finance Wealth Services Pvt Ltd,145.06,"            3,94,646.22","-15,371.50",36997.12,0.05
268,Ethix,131.24,"4,209.77","1,128.29",19566.37,5.14
269,Etica Wealth Management Pvt Ltd,359.62,"44,367.69","16,082.56",42126.60,1.14
270,EURASIA CAPITAL SERVICES,577.59,"24,443.35",-727.16,54971.69,2.28
271,Farr Lapp Investments,170.84,"6,109.59",596.09,21965.94,3.74
272,Fermat Prime Advisors Pvt Ltd,258.43,"51,154.20","9,933.56",44656.82,1
273,Fin Secure,96.36,"8,666.91","-1,411.66",10347.47,1.15
274,Finance Doctor Pvt. Ltd,126.31,"2,917.80","1,350.37",14316.54,5.28
275,Financial Mart,72.53,"5,225.65","1,441.24",5332.47,1.19
276,Finanzindia,173.82,"12,595.89",491.81,20690.43,1.67
277,FINBUCKS Financial Management,148.04,"26,289.70",-273.51,15714.65,0.57
278,FINE ADVICE PRIVATE LIMITED,296.68,"23,480.03","5,420.87",26306.80,1.23
279,FINE TECH CORPORATION PRIVATE LIMITED,230.96,                           -,                           -,26375.48,-
280,FinEdge Advisory Pvt. Ltd.,361.91,"23,343.95","8,317.16",30568.11,1.57
281,FINFIRST CAPITAL ADVISORS PRIVATE LIMITED,78.09,"7,386.49","4,290.44",10087.11,1.77
282,FINFREEDOM33 WEALTH MANAGEMENT INDIA LLP,262.55,"5,995.65","3,494.48",25563.24,6.64
283,Finmass,65.58,758.9,250.24,10264.95,14.19
284,Finnovators Solutions Pvt Ltd,182.57,"7,391.29","3,397.77",20703.42,3.24
285,FINOMATIC CONSULTANTS PRIVATE LIMITED,111.88,"18,083.54","4,450.11",6528.12,0.47
286,FINWIZARD TECHNOLOGY PVT LTD,225.98,"28,263.13","11,931.26",22488.43,1.01
287,FIRST ADVISORS AND CONSULTANCY PRIVATE LIMITED,102.45,"4,021.68","1,974.41",9943.14,2.79
288,FLEXI CAPITAL LLP,133.86,"13,085.91","5,076.65",13815.01,1.28
289,Fortitude Securities Pvt.Ltd,140.05,"7,483.25","2,994.19",15267.05,2.31
290,Fortune Finsec Pvt Ltd,148.43,"21,836.00","2,631.65",20195.10,0.91
291,FORTUNE FINSERVE LLP,86.29,"6,217.01","1,182.73",19811.27,5.27
292,Francis Michael Clement D'Cruz,115.19,"4,497.99",-208.12,11684.32,2.59
293,Frontline Securities Ltd,632.59,"80,619.55","15,489.39",83528.77,1.1
294,Frontline Wealth Management,121.49,356.03,"-22,994.18",13974.82,13.08
295,FUNDCHOICE FINANCIAL SERVICES PVT LTD,163.12,"4,614.45","2,280.71",16783.58,4.55
296,FUTURE WEALTH,90.86,"14,662.20",-867.2,10955.45,0.88
297,G K Wealthcare LLP,120.78,"6,189.25",-591.35,11061.91,1.8
298,Gada & Haria Financial Planners Private Limited,106.21,"8,365.13","1,044.56",17361.94,2.16
299,Gaindamull Hemraj Financial Services,121.47,"10,962.05","5,256.71",16189.33,1.7
300,Gajendra Hiralal Jain,136.21,                           -,-48.54,13690.10,-
301,GANADEESHA FINANCIAL SOLUTIONS PVT LTD,50.06,"4,868.83","2,189.54",7961.26,2.21
302,Ganesh Shridhar Shanbhag,564.67,"16,550.55","6,783.47",84945.19,5.33
303,Gaurang Investments,95.93,"1,675.90",45.38,12057.60,7.25
304,Gaurav Ganpule,961.06,"14,826.76","7,930.77",76968.79,5.57
305,Gaurav Mehrotra,94.18,"4,907.33","2,053.36",11259.55,2.41
306,Gautam Rathore,106.94,"3,507.36","1,943.35",12108.17,3.8
307,Gayetri Nidhi Shaha,122.52,"5,326.80",438.42,6964.10,1.61
308,GENEXT WEALTH ADVISORS,165.36,"11,762.83","2,979.18",15136.44,1.49
309,Genome Capital,97.62,"34,342.89","1,662.99",15223.05,0.52
310,Geojit Financial Services Ltd,"4,627.38","            2,71,044.29","            1,06,023.66","           3,81,527.13 ",1.63
